A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
Q86HX0	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
Q87WW0	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)
Q89Z59	Type I restriction enzyme BthVORF4518P methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.BthVORF4518P) (M.BthVORF4518P)
Q8BUY9	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (GGTase-I-beta) (Type I protein geranyl-geranyltransferase subunit beta)
Q8C0C7	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q8CBY0	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)
Q8DGC6	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)
Q8DGH2	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)
Q8DKZ3	NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L)
Q8G2Q0	Urease subunit gamma 1 (EC 3.5.1.5) (Urea amidohydrolase subunit gamma 1)
Q8GBW6	Methylmalonyl-CoA carboxyltransferase 12S subunit (EC 2.1.3.1) (Transcarboxylase 12S subunit)
Q8L1D5	Glycerol dehydrogenase small subunit (EC 1.1.99.22) (D-arabitol dehydrogenase small subunit) (ARDH) (D-sorbitol dehydrogenase subunit SldB) (SLDH) (Gluconate/polyol dehydrogenase small subunit)
Q8LGI8	N-terminal acetyltransferase B complex catalytic subunit NAA20 (EC 2.3.1.254) (NatB N-alpha-terminal acetylation complex catalytic subunit)
Q8NNK3	Cytochrome c oxidase polypeptide 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)
Q8PVW4	Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit E (EC 1.8.98.1) (CoB--CoM heterodisulfide reductase subunit E) (Coenzyme B:coenzyme M:methanophenazine oxidoreductase subunit E)
Q8RGE0	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q8RGE2	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Q8RHX7	Lysine 5,6-aminomutase alpha subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase alpha subunit) (L-beta-lysine 5,6-aminomutase alpha subunit)
Q8RQE7	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q8SQU9	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (Vacuolar proton pump subunit alpha)
Q8SRZ0	Probable serine/threonine-protein phosphatase ECU05_0440 (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)
Q8SSL2	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15) (General glucose sensor subunit 1) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)
Q8TH90	Archaeosine synthase subunit alpha (EC 4.3.3.-) (Archaeosine synthase, lysine transferase subunit)
Q8THH1	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase alpha)
Q8TZI3	DNA-directed RNA polymerase subunit Rpo12 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit P)
Q8U0E4	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)
Q8U0E8	DNA-directed RNA polymerase subunit Rpo6 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit K)
Q8U0M2	DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H)
Q8U4N1	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L)
Q8VPF2	3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6) (3-oxoadipate:succinyl-CoA transferase subunit B) (Beta-ketoadipate:succinyl-CoA transferase subunit B)
Q8VS16	D-tagatose-1,6-bisphosphate aldolase subunit GatY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)
Q8YNB9	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q8YPK3	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q8ZB39	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q8ZY16	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
Q925Z2	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q92ET9	PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM (EC 2.7.1.121) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)
Q92EU2	PTS-dependent dihydroxyacetone kinase 2, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)
Q92EU3	PEP-dependent dihydroxyacetone kinase 2, ADP-binding subunit DhaL (EC 2.7.1.121)
Q934T0	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Q93HX6	Glucosaminate ammonia-lyase (EC 4.3.1.9) (D-glucosaminate dehydratase alpha-subunit) (GlcNA-DH alpha subunit) (GlcNADH-alpha)
Q93SX0	Cytochrome b6-f complex iron-sulfur subunit 1 (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein 1) (ISP 1) (RISP 1) (Rieske iron-sulfur protein 1)
Q95748	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 9)
Q97C13	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)
Q97T34	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (RNA polymerase epsilon subunit) (Transcriptase subunit epsilon)
Q980B8	DNA-directed RNA polymerase subunit Rpo13 (EC 2.7.7.6)
Q980L5	DNA-directed RNA polymerase subunit Rpo8 (EC 2.7.7.6) (DNA-directed RNA polymerase, subunit G)
Q980Q9	DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H)
Q99JT1	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112 homolog)
Q99ZA6	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)
Q9AEL8	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)
Q9AGP0	Sarcosine oxidase subunit gamma (Sarcosine oxidase subunit G) (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit gamma) (Tetrameric sarcosine oxidase subunit gamma) (TSOX subunit gamma)
Q9AGP2	Sarcosine oxidase subunit delta (Sarcosine oxidase subunit D) (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit delta) (Tetrameric sarcosine oxidase subunit delta) (TSOX subunit delta)
Q9AGP3	Sarcosine oxidase subunit beta (Sarcosine oxidase subunit B) (EC 1.5.3.24) (Sarcosine oxidase (5,10-methylenetetrahydrofolate-forming) subunit beta) (Tetrameric sarcosine oxidase subunit beta) (TSOX subunit beta)
Q9AIX7	Benzoyl-CoA oxygenase component B (EC 1.14.13.208) (Benzoyl-CoA 2,3-dioxygenase subunit B) (Benzoyl-CoA dioxygenase oxygenase component)
Q9B6C7	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)
Q9B6C8	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)
Q9B6D4	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)
Q9B6D6	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)
Q9B6E8	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)
Q9B6E9	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)
Q9C6Z3	Pyruvate dehydrogenase E1 component subunit beta-2, chloroplastic (EC 1.2.4.1)
Q9CFW8	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))
Q9CIV6	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM (EC 2.7.1.121) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)
Q9CQT1	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)
Q9CZN8	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (Glutaminyl-tRNA synthase-like protein 1)
Q9EV94	Glycine reductase complex component B subunits alpha and beta (EC 1.21.4.2) (Selenoprotein PB alpha/beta) [Cleaved into: Betaine reductase component B subunit beta; Betaine reductase component B subunit alpha]
Q9F715	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)
Q9FBB7	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
Q9HIC5	DNA-directed RNA polymerase subunit Rpo11 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit L)
Q9HJM3	GMP synthase [glutamine-hydrolyzing] subunit A (EC 6.3.5.2) (Glutamine amidotransferase)
Q9HJP3	Archaeosine synthase subunit alpha (EC 4.3.3.-) (Archaeosine synthase, lysine transferase subunit)
Q9HTM1	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q9HVT9	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)
Q9HXZ2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)
Q9I0A3	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
Q9I1S2	Hydrogen cyanide synthase subunit HcnB (HcnB) (EC 1.4.99.5) (Glycine dehydrogenase (cyanide-forming))
Q9JYY8	Ribosomal RNA large subunit methyltransferase K (EC 2.1.1.264) (23S rRNA m7G2069 methyltransferase) (rRNA (guanine-N(7)-)-methyltransferase RlmK)
Q9K0V4	Ribosomal RNA large subunit methyltransferase L (EC 2.1.1.173) (23S rRNA m2G2445 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmL)
Q9KFH7	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)
Q9KPS2	Na(+)-translocating NADH-quinone reductase subunit B (Na(+)-NQR subunit B) (Na(+)-translocating NQR subunit B) (EC 7.2.1.1) (NQR complex subunit B) (NQR-1 subunit B)
Q9KSX0	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
Q9KXS1	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Q9LCX2	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
Q9LCX3	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q9LCX4	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)
Q9PM80	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q9R4G7	Glycine reductase complex component B subunits alpha and beta (EC 1.21.4.2) (Selenoprotein PB alpha/beta) [Cleaved into: Betaine reductase component B subunit beta; Betaine reductase component B subunit alpha]
Q9SM09	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)
Q9TDR1	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)
Q9TK52	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
Q9V0T9	Glutamyl-tRNA(Gln) amidotransferase subunit D (Glu-ADT subunit D) (EC 6.3.5.-)
Q9V0U0	Glutamyl-tRNA(Gln) amidotransferase subunit E (Glu-ADT subunit E) (EC 6.3.5.-)
Q9V2F3	DNA polymerase II small subunit (Pol II) (EC 2.7.7.7) (Exodeoxyribonuclease small subunit) (EC 3.1.11.1)
Q9WUA2	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
Q9WZU8	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
Q9WZX6	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
Q9X0X1	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)
Q9X1U7	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
Q9X4Q7	Na(+)-translocating NADH-quinone reductase subunit E (Na(+)-NQR subunit E) (Na(+)-translocating NQR subunit E) (EC 7.2.1.1) (NQR complex subunit E) (NQR-1 subunit E)
Q9XX11	ATP synthase subunit C lysine N-methyltransferase (EC 2.1.1.-)
Q9Y7K8	Dehydrodolichyl diphosphate synthase complex subunit nus1 (EC 2.5.1.87)
Q9YA13	2-oxoacid:ferredoxin oxidoreductase 1, subunit alpha (OFOR1) (EC 1.2.7.11)
Q9Z4P6	D-proline reductase proprotein PrdA (EC 1.21.4.1) [Cleaved into: D-proline reductase subunit beta (D-proline reductase 45 kDa subunit); D-proline reductase subunit alpha (D-proline reductase 23 kDa subunit)]
Q9Z8L0	4-hydroxybenzoate decarboxylase subunit C (4-hydroxybenzoate DC) (HBDC) (EC 4.1.1.61)
Q9ZAA7	Glutaconyl-CoA decarboxylase subunit gamma (EC 7.2.4.5) (Biotin carrier)
Q9ZET3	Alkene monooxygenase system, oxygenase component subunit beta (EC 1.14.13.69)
Q9ZET6	Alkene monooxygenase system, oxygenase component subunit gamma (EC 1.14.13.69)
Q9ZJT5	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
Q9ZUG4	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)
A6KXB3	Apulose-4-phosphate transketolase subunit B (EC 2.2.1.13) (Apulose-4-phosphate transketolase C-terminal subunit)
A6KXB4	Apulose-4-phosphate transketolase subunit A (EC 2.2.1.13) (Apulose-4-phosphate transketolase N-terminal subunit)
A6VKQ3	Apulose-4-phosphate transketolase subunit B (EC 2.2.1.13) (Apulose-4-phosphate transketolase C-terminal subunit)
A6VKQ4	Apulose-4-phosphate transketolase subunit A (EC 2.2.1.13) (Apulose-4-phosphate transketolase N-terminal subunit)
O05651	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit alpha)
O07717	Putative isocitrate lyase subunit B (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
O24677	Chlorobenzene dioxygenase subunit beta (EC 1.14.12.26)
O58714	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
O59393	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
O66552	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
O66610	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
O66766	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)
O67081	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
O69406	Betaine reductase complex component B subunit alpha (EC 1.21.4.4) (Selenoprotein PB alpha)
P42315	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A)
P42316	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)
P42874	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
P42875	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
P43955	Na(+)-translocating NADH-quinone reductase subunit A (Na(+)-NQR subunit A) (Na(+)-translocating NQR subunit A) (EC 7.2.1.1) (NQR complex subunit A) (NQR-1 subunit A)
P44627	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
P44869	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
P45057	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)
P45347	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
P45514	Glycerol dehydratase large subunit (EC 4.2.1.30)
P54461	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
P56006	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A)
P63489	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
P64218	Probable glycine dehydrogenase (decarboxylating) subunit 1 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 1) (Glycine decarboxylase subunit 1) (Glycine dehydrogenase (aminomethyl-transferring) subunit 1)
P65647	Galactose-6-phosphate isomerase subunit LacB (EC 5.3.1.26)
P68568	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
P71035	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
P75030	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
P80268	NADH-ubiquinone oxidoreductase 18 kDa subunit (EC 7.1.1.2) (Complex I-18kD) (CI-18kD)
P80498	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
P80521	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit alpha)
P80523	Pyruvate synthase subunit PorC (EC 1.2.7.1) (Pyruvate oxidoreductase gamma chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit gamma)
P80650	Tetrahydromethanopterin S-methyltransferase subunit H (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit H)
P80729	NADH-ubiquinone oxidoreductase 11 kDa subunit (EC 7.1.1.2) (Complex I-11 kDa) (CI-11kD)
P80902	Pyruvate synthase subunit PorC (EC 1.2.7.1) (Pyruvate oxidoreductase gamma chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit gamma)
P80906	2-oxoglutarate synthase subunit KorC (EC 1.2.7.3) (2-ketoglutarate oxidoreductase gamma chain) (KOR) (2-oxoglutarate-ferredoxin oxidoreductase subunit gamma)
P80980	Cytochrome c oxidase subunit 7B-heart, mitochondrial (EC 7.1.1.9) (Cytochrome c oxidase polypeptide VIIb-heart)
P80981	Cytochrome c oxidase subunit 7B-liver, mitochondrial (EC 7.1.1.9) (Cytochrome c oxidase polypeptide VIIb-liver)
P81419	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
P84546	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
P84820	Pyruvate/ketoisovalerate oxidoreductases common subunit gamma [Includes: Pyruvate synthase subunit PorC (EC 1.2.7.1) (Pyruvate oxidoreductase gamma chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit gamma); Ketoisovalerate oxidoreductase subunit VorC (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit gamma) (2-oxoisovalerate oxidoreductase gamma chain)]
P86217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)
P9WGW7	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
P9WGX1	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193) (16S rRNA m3U1498 methyltransferase)
P9WP45	Probable cytochrome c oxidase polypeptide 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)
P9WP67	Probable cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)
P9WPW3	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)
P9WPW5	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit A (EC 2.8.3.5) (Succinyl-CoA:3-oxoacid CoA-transferase) (OXCT A)
P9WQA1	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q01103	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6) (Beta-ketoadipate:succinyl-CoA transferase subunit A)
Q02943	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
Q03439	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III) (Oxidase aa(3) subunit 3)
Q07398	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
Q07399	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
Q0SJK7	Propane 2-monooxygenase, hydroxylase component small subunit (PrMO) (EC 1.14.13.227)
Q1QWP1	(2R)-sulfolactate sulfo-lyase subunit alpha (EC 4.4.1.24) (Sulfolactate sulfo-lyase A)
Q43973	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6) (Beta-ketoadipate:succinyl-CoA transferase subunit A)
Q4MTG0	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)
Q51799	Pyruvate/ketoisovalerate oxidoreductases common subunit gamma [Includes: Pyruvate synthase subunit PorC (EC 1.2.7.1) (Pyruvate oxidoreductase gamma chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit gamma); Ketoisovalerate oxidoreductase subunit VorC (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit gamma) (2-oxoisovalerate oxidoreductase gamma chain)]
Q51801	Ketoisovalerate oxidoreductase subunit VorA (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit alpha) (2-oxoisovalerate oxidoreductase alpha chain)
Q51802	Ketoisovalerate oxidoreductase subunit VorB (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit beta) (2-oxoisovalerate oxidoreductase beta chain)
Q51804	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit alpha)
Q53WG6	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
Q58034	Putative L(+)-tartrate dehydratase subunit beta (L-TTD beta) (EC 4.2.1.32)
Q58690	Putative L(+)-tartrate dehydratase subunit alpha (L-TTD alpha) (EC 4.2.1.32)
Q58970	GMP synthase [glutamine-hydrolyzing] subunit A (EC 6.3.5.2) (Glutamine amidotransferase)
Q58Y44	(2R)-sulfolactate sulfo-lyase subunit alpha (EC 4.4.1.24) (Sulfolactate sulfo-lyase A)
Q59091	3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6) (Beta-ketoadipate:succinyl-CoA transferase subunit B)
Q726X3	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q72DX1	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Q74MJ7	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)
Q7UAV7	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
Q820A6	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)
Q88VS2	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
